discogs_id,name,tier,accent,accent_ink,founded_year,closed_year,is_active,location,blurb
4776,Sugar Hill Records,tier1,#d4a017,#1a1a1a,1979,1986,false,"Englewood, US","Sylvia Robinson's Englewood, NJ imprint that turned a Harlem dance routine into ""Rapper's Delight"" and effectively invented commercial hip-hop. Grandmaster Flash, Sequence, Spoonie Gee, Funky 4 + 1. The masters got entangled with Morris Levy and the artists rarely saw their cheques."
10149,Enjoy Records,tier1,#7a1f3a,#f4f1e8,1962,1987,false,"New York, US","Bobby Robinson's Harlem record-shop label that cut the first Treacherous Three, Funky Four Plus One, Grandmaster Flash & The Furious Five sides before Sugar Hill poached the talent. Old man, old shop, foundational catalogue."
26011,Tommy Boy,tier1,#e8c547,#0a0a0a,1981,,true,"New York, US","Tom Silverman's NYC imprint, founded out of his trade newsletter. Afrika Bambaataa's ""Planet Rock"", De La Soul's first three albums, Naughty by Nature, House of Pain, Digital Underground. The label that made Native Tongues commercially possible."
2739,Profile Records,tier1,#c8431f,#0a0a0a,1981,1998,false,"New York, US","Cory Robbins and Steve Plotnicki's NYC indie. Run-D.M.C.'s entire run lived here. Also DMX, Special Ed, Rob Base & DJ E-Z Rock, Poor Righteous Teachers. The catalogue eventually rolled into Arista."
3379,Sleeping Bag Records,tier1,#3b2a8c,#f4f1e8,1981,1992,false,"New York, US","Will Socolov, Arthur Russell and Juggy Gayles' downtown NY label. Mantronix lived here. Pre-house electro-funk and the early hip-hop / dance-rap crossover that the rest of the city was still figuring out."
5983,Idlers,tier1,#1a1a1a,#f4f1e8,1981,1986,false,"New York, US","Sleeping Bag sublabel. T La Rock & Jazzy Jay's ""It's Yours"", Just-Ice, Rammellzee. The B-side of the Sleeping Bag operation, harder and rawer."
4241,Def Jam Recordings,tier1,#0a0a0a,#d62828,1984,,true,"New York, US","Russell Simmons and Rick Rubin out of an NYU dorm. LL Cool J, Beastie Boys, Public Enemy, EPMD, Slick Rick, Method Man, DMX, Jay-Z. The most important imprint in the music's history; everything else is a footnote or a sublabel."
158452,4th & Broadway,tier1,#0a3a4a,#f4f1e8,1984,,true,"London, UK","Island Records' US/UK rap subsidiary. Eric B. & Rakim's ""Paid in Full"", Stetsasonic, Queen Latifah's debut, the early UK Cookie Crew/MC Buzz B sides. Paul Winley meets Chris Blackwell."
7637,Pop Art Records,tier1,#f15a24,#0a0a0a,1984,1989,false,"Philadelphia, US","Dana Goodman's Philadelphia indie. Schoolly D's ""P.S.K. What Does It Mean?"" — arguably the first gangsta record — Steady B, Three Times Dope, Roxanne Shanté's ""Roxanne's Revenge"". A scene built two hours south of the Bronx."
14577,Streetwave,tier1,#7a8a99,#0a0a0a,1981,1986,false,"London, UK","Morgan Khan's London imprint. The UK home for early Tommy Boy / Sugar Hill licences, Zapp, the Street Sounds Electro compilations that taught British kids what hip-hop sounded like before it was on the radio."
5724,B-Boy Records,tier1,#7a1f3a,#f4f1e8,1986,1989,false,"New York, US","Bronx imprint that released ""Criminal Minded"" — Boogie Down Productions' Scott La Rock and KRS-One blueprint. Three records in, Scott was killed and the label fell apart, but Criminal Minded re-routed the entire scene."
3715,Zakia Records,tier1,#3a3a3a,#f4f1e8,1986,1988,false,"New York, US","Where BDP's earliest 12""s came out before B-Boy. ""Crack Attack"", ""South Bronx"". A handful of releases, all foundational."
19000,Cold Chillin' Records,tier1,#d4a017,#0a0a0a,1986,1998,false,"New York, US","Tyrone Williams and Len Fichtelberg's NY label, the home of the Juice Crew. Big Daddy Kane, Kool G Rap, Biz Markie, Marley Marl, MC Shan, Masta Ace. Marley's productions defined the late-80s East Coast sound."
9775,First Priority Music,tier1,#1f3a5c,#f4f1e8,1987,1995,false,"New York, US","Nat and Mike Robinson's NY indie distributed via Atlantic. MC Lyte, Audio Two, Positive K. The Brooklyn family-business take on the Cold Chillin' formula."
7561,Wild Pitch Records,tier1,#0a0a0a,#f4f1e8,1987,1996,false,"New York, US","Stu Fine's NY label. Gang Starr's debut, Main Source, Lord Finesse, Ultramagnetic MCs, O.C., Chill Rob G. Maybe the cleanest A&R run in early-90s East Coast rap."
9176,Select Records,tier1,#c8431f,#f4f1e8,1983,1996,false,"New York, US","Fred Munao's NY indie. UTFO's ""Roxanne, Roxanne"", Kid 'N Play, Chubb Rock, Real Roxanne. The label that made the Roxanne Wars possible and survived long enough to put out AZ."
2036,Next Plateau Records Inc.,tier1,#7a3a8c,#f4f1e8,1984,,true,"New York, US","Eddie O'Loughlin's NY indie. Salt-N-Pepa from ""The Show Stoppa"" through ""Push It"", Antoinette, Sybil. Kept its women MCs in front for an era that mostly didn't."
