name,tier,notes
Trax Records,tier1,Chicago house origin label (1984-)
DJ International Records,tier1,Chicago house — Chuck Roberts / Rocky Jones
Dance Mania,tier1,Chicago house / ghetto house
Cajual Records,tier1,Cajmere mid-90s Chicago
Relief Records,tier1,Cajmere acid/jacking sublabel
Guidance Recordings,tier1,Chicago deep house mid-90s
Prescription Records,tier1,Ron Trent / Chez Damier
Large Music,tier1,Chicago / NY deep house
Underground Construction,tier1,Chicago dance imprint
Clubhouse Records,tier1,Chicago classic house
Metroplex,tier1,Juan Atkins — Detroit techno foundation
Transmat,tier1,Derrick May — Detroit techno
KMS Records,tier1,Kevin Saunderson — Detroit techno
Underground Resistance,tier1,Mike Banks — Detroit techno militancy
Submerge,tier1,UR distribution / Detroit
Planet E Communications,tier1,Carl Craig — Detroit
Plus 8 Records,tier1,Richie Hawtin / John Acquaviva
Probe Records,tier1,Carl Craig early
Red Planet,tier1,UR Mars series
430 West,tier1,Octave One — Detroit
M-Plant,tier1,Robert Hood — Detroit minimal
Axis Records,tier1,Jeff Mills — techno
Rephlex Records,tier1,Aphex / Grant Wilson-Claridge — braindance
Strictly Rhythm,tier1,NYC garage/house empire
Nu Groove Records,tier1,Burrell brothers — NYC deep house
King Street Sounds,tier1,NYC soulful house
Henry Street Music,tier1,Kenny Dope / Masters At Work
Cutting Records,tier1,NYC late-80s freestyle/house
Easy Street Records,tier1,NYC 80s house
Movin' Records,tier1,NYC 90s deep house
Vega Records,tier1,Louie Vega — NYC
Spiritual Life Music,tier1,NYC — Joe Claussell tribal/deep
Body & Soul,tier1,NYC Body & Soul party label
Junior Boy's Own,tier1,UK house — Chemical Bros / Underworld
Soma Quality Recordings,tier1,Glasgow techno (Slam / Daft Punk early)
Hooj Choons,tier1,UK progressive house/trance
Stress Records,tier1,UK house
Sub Atomic Records,tier1,UK house
Ovum Recordings,tier1,Josh Wink — Philly/UK
Soul Heaven Records,tier1,UK soulful house
NRK Sound Division,tier1,UK house mid-90s
2020Vision Recordings,tier1,UK house — Ralph Lawson
NovaMute,tier1,Mute techno sublabel
Mute Records,tier1,UK electronic establishment
Warp Records,tier1,Sheffield IDM/electronic foundation
Skam Records,tier1,Manchester IDM (Autechre / Boards of Canada early)
Mille Plateaux,tier1,Frankfurt IDM/glitch
Force Inc. Music Works,tier1,Frankfurt techno — Achim Szepanski
Mo Wax,tier1,UK trip-hop/leftfield (James Lavelle)
Ninja Tune,tier1,UK leftfield/downtempo
Tresor Records,tier1,Berlin techno temple
Basic Channel,tier1,Berlin dub techno foundation (Ernestus / von Oswald)
Chain Reaction,tier1,Basic Channel sublabel — dub techno
Rhythm & Sound,tier1,Basic Channel project
Maurizio,tier1,Basic Channel project
Profan,tier1,Wolfgang Voigt — Cologne
Kompakt,tier1,Cologne minimal/microhouse
Force Tracks,tier1,Kompakt sublabel
Perlon,tier1,Berlin minimal (Zip / Sammy Dee)
Klang Elektronik,tier1,Frankfurt minimal techno
Hard Wax,tier1,Berlin shop/distribution-tied imprint
MFS Records,tier1,Paul van Dyk — Berlin
Eye Q Records,tier1,Sven Väth — Frankfurt trance
Harthouse,tier1,Sven Väth/Hardfloor — Frankfurt acid trance
Disko B,tier1,Munich tech house
Studio !K7,tier1,Berlin electronic
City Slang,tier1,Berlin indie/electronic
DJAX-Up-Beats,tier1,Eindhoven acid (Saskia Slegers)
Music Man Records,tier1,Ghent — Belgian techno
Bonzai Records,tier1,Belgium hard trance
R&S Records,tier1,Ghent — Renaat Vandepapeliere — foundation electronica
Apollo Records,tier1,R&S ambient sublabel (Aphex Twin SAW)
Outland Records,tier1,R&S sublabel
Ferox Records,tier1,UK — Russ Gabriel tech house
Plink Plonk,tier1,Mr C — UK
Sähkö Recordings,tier1,Helsinki — Finnish minimal techno (Mika Vainio / Pan Sonic)
A-Musik,tier1,Cologne electronic / minimal
Touch,tier1,UK experimental ambient
Mego,tier1,Vienna experimental electronic
Editions Mego,tier1,Mego successor
Pampa Records,tier1,DJ Koze — minimal
Smallville Records,tier1,Hamburg deep house
Dial Records,tier1,Hamburg minimal/deep
Playhouse,tier1,Frankfurt minimal/microhouse
Source Records,tier1,Frankfurt minimal techno
XL Recordings,tier1,UK hardcore/breakbeat (Prodigy / SL2)
Suburban Base,tier1,UK hardcore breakbeat
Reinforced Records,tier1,UK hardcore — D&B origins
Moving Shadow,tier1,UK hardcore/breakbeat
Production House,tier1,UK hardcore acid (4 hero)
Network Records,tier1,Birmingham bleep/techno house
Outer Rhythm,tier1,UK bleep techno breakbeat
Rising High Records,tier1,Caspar Pound — UK early-90s techno/trance
General Production Recordings,tier1,UK techno (GPR)
International Deejay Gigolo Records,tier1,DJ Hell — electroclash
Output Recordings,tier1,UK electroclash — Trevor Jackson
Direct Beat,tier1,Detroit electro
Nervous Records,tier1,NYC deep/garage — MAW / Kenny Dope
Astralwerks,tier1,US electronica / ambient
Em:t Records,tier1,UK ambient
FAX +49-69/450464,tier1,Pete Namlook — Frankfurt ambient
Instinct Ambient,tier1,NYC ambient
Lo Recordings,tier1,UK ambient leftfield
WordSound,tier1,NYC dub/illbient
Asphodel,tier1,SF experimental electronic
Platipus Records,tier1,UK progressive trance
Dragonfly Records,tier1,UK Goa trance
Blue Room Released,tier1,UK Goa trance
Phantasm Records,tier1,Goa
Flying Rhino Records,tier1,UK Goa
Plastik Records,tier1,UK progressive trance
Bedrock Records,tier1,John Digweed — prog house/trance
Drop Bass Network,tier1,Milwaukee acid/hardcore
Hardkiss Music,tier1,SF trance/breaks
SVEK,tier1,Stockholm minimal/microhouse
Compost Records,tier1,Munich leftfield/jazz/electronic
Tummy Touch,tier1,UK leftfield/downtempo
Discomagic Records,tier1,Italo disco — Italy
ZYX Music,tier1,Italo / Euro
Communiqué Records,tier1,Toronto/midwest techno
Yellorange,tier1,Sweden deep house
Karaoke Kalk,tier1,Cologne electronic minimal
Schematic Records,tier1,Miami IDM
Shitkatapult,tier1,Berlin electronic experimental
