name,tier,accent,accent_ink,founded_year,closed_year,is_active,location,blurb
R&S Records,tier1,#f5d000,#1a1a1a,1984,,true,"Ghent, BE","Renaat Vandepapeliere's house started in Belgian new beat, then opened the door for everyone who mattered between Detroit and Sheffield: Beltram, Aphex on Apollo, Sun Electric, the whole Ferox lineage. Jet-yellow sleeves. Run by feel."
Apollo,tier1,#0a0a0a,#f4f1e8,1992,,true,"Ghent, BE","R&S sublabel for ambient. Selected Ambient Works Vol. II lives here. Quiet weight."
Warp Records,tier1,#3a3a3a,#f4f1e8,1989,,true,"Sheffield, UK","Steve Beckett and Rob Mitchell's Sheffield record shop became the most influential electronic label of the 90s. Bleep techno first, then IDM, then everything that didn't fit. Aphex, Autechre, Boards of Canada, Squarepusher. Designs Republic on the sleeves."
Tresor,tier1,#7a8a99,#1a1a1a,1991,,true,"Berlin, DE","Berlin techno temple. Started as a bunker club, then the label that Detroit and Berlin met inside. Jeff Mills, Joey Beltram, Cristian Vogel, Surgeon, plus the X-103 / X-102 conceptual records that made techno feel like science fiction."
Trax Records,tier1,#1a1a1a,#f4f1e8,1984,,true,"Chicago, US","Larry Sherman's Chicago house origin label. Frankie Knuckles, Marshall Jefferson, Ron Hardy, Adonis. The records that named the genre, even if the artists barely got paid for them."
DJ International Records,tier1,#c8431f,#f4f1e8,1985,2003,false,"Chicago, US","Rocky Jones' Chicago house imprint. Ran parallel to Trax, equally foundational. Steve ""Silk"" Hurley, Farley ""Jackmaster"" Funk, Tyree Cooper. Released the first 12""s the rest of the world bought as ""house""."
Dance Mania,tier1,#0a0a0a,#ffe600,1985,,true,"Chicago, US","The Chicago label that mutated house into ghetto-house. Ray Barney's imprint. DJ Funk, DJ Deeon, DJ Milton, Paul Johnson. Trunk-rattling 808 minimalism that the internet would later steal wholesale."
Strictly Rhythm,tier1,#d62828,#f4f1e8,1989,,true,"New York, US","Mark Finkelstein's NYC garage/house empire. Armand Van Helden, Roger Sanchez, Erick Morillo, Kerri Chandler. Hundreds of 12""s, most of them hits in clubrooms before they were anywhere else."
Nervous Records,tier1,#f15a24,#1a1a1a,1991,,true,"New York, US","Michael Weiss's NYC label. Masters At Work, Kerri Chandler, MAW productions. Garage, house, the deep-house tradition continued."
Nu Groove Records,tier1,#3b2a8c,#f4f1e8,1988,1992,false,"New York, US","Frank and Karen Mendez's NYC label. Burrell Brothers, Bobby Konders, Joey Beltram's earliest 12""s. Four years, hundreds of records, no compromise."
